Xn,F(Xn),F'(Xn),Xn+1,Error
(-6.22631523819568+0j),(-69.62862034243359+0j),(2738.642941831882+0j),(-6.200890740799951+0j),(0.025424497395728274+0j)
(-6.200890740799951+0j),(-68.0238788475996+0j),(2714.6777169152274+0j),(-6.175832930650429+0j),(0.02505781014952202+0j)
(-6.175832930650429+0j),(-66.46075438540258+0j),(2691.1605958101804+0j),(-6.151136985529623+0j),(0.024695945120805973+0j)
(-6.151136985529623+0j),(-64.9380539424426+0j),(2668.0826163208917+0j),(-6.1267981387693276+0j),(0.02433884676029585+0j)
(-6.1267981387693276+0j),(-63.454621292844166+0j),(2645.435009210174+0j),(-6.1028116786703555+0j),(0.023986460098972096+0j)
(-6.1028116786703555+0j),(-62.00933580625352+0j),(2623.209193775635+0j),(-6.079172947930394+0j),(0.023638730739961034+0j)
(-6.079172947930394+0j),(-60.601111295806504+0j),(2601.3967735312012+0j),(-6.055877343079795+0j),(0.023295604850599005+0j)
(-6.055877343079795+0j),(-59.2288949046929+0j),(2579.9895319914963+0j),(-6.032920313925118+0j),(0.022957029154677677+0j)
(-6.032920313925118+0j),(-57.89166602999043+0j),(2558.97942855659+0j),(-6.010297363000246+0j),(0.022622950924871432+0j)
(-6.010297363000246+0j),(-56.588435282488604+0j),(2538.358594494689+0j),(-5.988004045024914+0j),(0.022293317975332627+0j)
(-5.988004045024914+0j),(-55.31824348126764+0j),(2518.1193290204183+0j),(-5.966035966370441+0j),(0.021968078654472478+0j)
(-5.966035966370441+0j),(-54.08016068184008+0j),(2498.2540954663723+0j),(-5.944388784532541+0j),(0.021647181837900042+0j)
(-5.944388784532541+0j),(-52.87328523670548+0j),(2478.7555175456946+0j),(-5.923058207610999+0j),(0.021330576921542388+0j)
(-5.923058207610999+0j),(-51.6967428872077+0j),(2459.6163757034856+0j),(-5.902039993796081+0j),(0.02101821381491753+0j)
(-5.902039993796081+0j),(-50.5496858856243+0j),(2440.829603554895+0j),(-5.881329950861498+0j),(0.020710042934583228+0j)
(-5.881329950861498+0j),(-49.43129214645352+0j),(2422.3882844078053+0j),(-5.860923935663758+0j),(0.020406015197740324+0j)
(-5.860923935663758+0j),(-48.340764425901575+0j),(2404.2856478680637+0j),(-5.840817853647768+0j),(0.020106082015989735+0j)
(-5.840817853647768+0j),(-47.27732952860762+0j),(2386.515066525275+0j),(-5.821007658358516+0j),(0.019810195289251986+0j)
(-5.821007658358516+0j),(-46.24023754067654+0j),(2369.070052717203+0j),(-5.801489350958682+0j),(0.01951830739983418+0j)
(-5.801489350958682+0j),(-45.228761088123036+0j),(2351.9442553708905+0j),(-5.782258979752035+0j),(0.019230371206647057+0j)
(-5.782258979752035+0j),(-44.242194619861195+0j),(2335.131456918636+0j),(-5.763312639712471+0j),(0.018946340039563303+0j)
(-5.763312639712471+0j),(-43.27985371440406+0j),(2318.625570287034+0j),(-5.744646472018545+0j),(0.018666167693926816+0j)
(-5.744646472018545+0j),(-42.341074409466685+0j),(2302.4206359572972+0j),(-5.726256663593351+0j),(0.018389808425193443+0j)
(-5.726256663593351+0j),(-41.4252125536941+0j),(2286.5108190951532+0j),(-5.708139446649638+0j),(0.018117216943712933+0j)
